user,timestamp,comx,comy,comz,headx,heady,headz,neckx,necky,neckz,leftshoulderx,leftshouldery,leftshoulderz,leftelbowx,leftelbowy,leftelbowz,lefthandx,lefthandy,lefthandz,rightshoulderx,rightshouldery,rightshoulderz,rightelbowx,rightelbowy,rightelbowz,righthandx,righthandy,righthandz,torsox,torsoy,torsoz,lefthipx,lefthipy,lefthipz,leftkneex,leftkneey,leftkneez,leftfootx,leftfooty,leftfootz,righthipx,righthipy,righthipz,rightkneex,rightkneey,rightkneez,rightfootx,rightfooty,rightfootz
1,15412,-120.47723,-19.130112,1307.7021,-116.08485,391.3732,1320.3613,-125.03441,153.72171,1309.0112,-264.64557,149.90625,1324.6394,-300.67435,-67.5963,1262.2417,-146.57903,-213.76074,1137.5554,14.576717,157.53716,1293.383,60.929783,-63.366226,1203.3949,-117.34248,-190.55557,1136.7164,-120.46741,-19.13044,1307.6096,-182.26134,-193.79617,1313.6365,-207.77995,-541.237,1373.4624,-153.29431,-871.8381,1316.4242,-49.539463,-190.16899,1298.7795,-75.634476,-541.9241,1277.5009,-95.524666,-630.16693,1238.757
1,15452,-123.13428,-19.68016,1326.9011,-118.08362,391.2365,1340.9825,-127.21263,153.12613,1331.6646,-267.46445,149.52959,1341.5928,-303.1897,-69.55821,1276.2395,-146.76543,-207.51991,1153.7673,13.039181,156.72267,1321.7363,63.390537,-61.545654,1231.4745,-122.15398,-192.78406,1161.626,-123.12387,-19.678013,1326.8257,-185.2509,-194.18015,1326.6742,-206.08018,-543.23035,1379.2964,-150.14432,-876.60144,1342.6838,-52.819317,-190.78415,1317.2994,-79.61955,-540.8624,1275.2761,-115.89406,-866.0988,1183.0208
1,15493,-123.257,-21.193764,1363.4298,-117.385735,389.8891,1362.3009,-124.680954,151.77914,1362.7269,-264.38986,150.68114,1378.959,-299.25345,-70.420975,1281.4893,-143.17285,-210.08434,1186.7042,15.027942,152.87717,1346.4949,65.01025,-70.92526,1277.345,-123.15452,-204.67805,1204.2906,-123.256485,-21.187843,1363.2869,-195.36337,-194.73274,1372.39,-199.95506,-542.54376,1424.6276,-155.60226,-803.3624,1375.698,-48.300663,-193.57693,1355.3036,-81.069984,-536.26965,1275.6133,-97.84994,-873.4352,1237.1378
1,15531,-123.46524,-20.932251,1391.8524,-117.33559,389.975,1387.9869,-123.50469,150.8492,1385.0425,-263.07614,151.66461,1406.7927,-295.63406,-76.007385,1317.8268,-123.03566,-224.10556,1123.578,16.066782,150.03378,1363.2922,61.103447,-66.25105,1310.0342,-108.283394,-212.81273,1138.2843,-123.464424,-20.933245,1391.741,-196.8617,-192.28665,1409.8837,-201.41867,-540.8501,1422.3107,-151.08725,-802.9956,1394.9601,-49.986618,-193.14473,1386.9952,-81.240326,-533.0166,1293.1006,-85.32336,-873.2091,1282.8655
1,15573,-120.24729,-19.08805,1406.6543,-117.400024,389.27463,1402.2875,-123.022156,148.30763,1399.003,-264.25998,146.59367,1412.5972,-301.11597,-81.95349,1327.1348,-129.81398,-211.03418,1214.7297,18.215649,150.02159,1385.4089,64.72041,-64.98514,1335.1576,-96.83168,-206.04655,1160.8988,-120.25986,-19.095263,1406.5961,-196.66516,-187.45888,1421.809,-202.27806,-536.539,1434.357,-145.5405,-798.0182,1425.1677,-38.329945,-185.53745,1406.5692,-86.59129,-531.89856,1339.8973,-56.75016,-870.1197,1296.3712
1,15615,-120.91002,-20.973465,1416.4341,-116.70912,390.47644,1419.2509,-123.27344,146.47835,1413.589,-264.1879,144.6853,1425.4033,-306.6839,-82.51689,1347.2031,-125.826416,-206.29666,1225.2675,17.641039,148.27141,1401.7747,65.36414,-66.93945,1342.1754,-90.28756,-204.3882,1168.0619,-120.907486,-20.966124,1416.3956,-196.3846,-189.40111,1425.7286,-201.747,-543.3096,1438.9874,-149.80302,-806.5244,1445.5099,-40.698467,-187.42009,1412.6759,-95.176895,-538.2439,1393.0363,-49.051445,-863.3773,1297.8877
1,15653,-119.26442,-21.685074,1431.8357,-113.56145,388.2139,1445.3433,-120.07562,147.71407,1438.1523,-259.6424,146.14494,1462.2202,-306.6369,-82.86403,1360.4109,-125.06709,-201.68466,1234.6918,19.491154,149.28319,1414.0845,80.52512,-64.04501,1379.3914,-91.86132,-178.44409,1260.4926,-119.27084,-21.682266,1431.7753,-194.59901,-191.93454,1438.5271,-194.51057,-548.011,1466.2865,-146.32645,-888.0326,1465.3125,-42.33312,-190.22266,1412.2693,-74.147934,-541.5833,1356.6404,-68.06531,-883.3799,1323.8463
1,15691,-116.74036,-26.021736,1441.0566,-108.82693,384.4901,1470.9551,-115.82193,142.57016,1452.6946,-255.2297,141.34741,1481.4368,-304.69595,-96.68921,1386.2236,-124.89235,-195.98929,1235.8821,23.585861,143.79292,1423.9524,79.76434,-67.272675,1375.994,-95.7919,-167.73291,1268.195,-116.750244,-26.004786,1441.0204,-192.70938,-195.23784,1444.8156,-192.33249,-552.0592,1478.067,-160.10194,-895.1324,1478.5211,-42.647743,-193.92163,1413.8768,-49.9424,-551.4352,1390.2527,-75.30431,-889.77826,1330.0948
1,15732,-113.74897,-30.172562,1452.3898,-100.41936,382.53937,1490.8281,-111.21708,136.83485,1475.1239,-247.99382,135.33821,1501.3694,-302.38718,-93.939026,1408.913,-119.85033,-184.69081,1249.6042,25.559673,138.3315,1448.8784,85.60746,-71.2719,1386.297,-91.82113,-166.8434,1270.4591,-113.760704,-30.15628,1452.3453,-192.11427,-197.97694,1444.1136,-191.76118,-556.8407,1476.6023,-162.90901,-901.45776,1497.8151,-40.49439,-196.31789,1415.0199,-44.69245,-556.51715,1406.206,-62.517883,-899.29443,1358.9906
1,15777,-108.66697,-34.48353,1463.0698,-95.122826,380.96765,1503.5228,-105.75588,133.1511,1486.963,-242.34312,131.4997,1515.2538,-299.2705,-91.436646,1434.6248,-116.96367,-183.70895,1259.5513,30.831366,134.8025,1458.6722,86.86929,-72.94623,1391.8726,-92.13959,-160.90646,1271.5924,-108.68687,-34.466625,1463.028,-186.80428,-202.9934,1454.6659,-189.61113,-578.4587,1475.8723,-170.85464,-833.4116,1505.7233,-36.431427,-201.17531,1423.5199,-50.236614,-564.5714,1410.3992,-54.340904,-913.9464,1391.7041
